gene,median_boundary_frac,mean_boundary_frac,p25,p75,mean_cell_total,n_cells_used
BLANK_0030,,,,,,4
BLANK_0032,,,,,,0
BLANK_0033,,,,,,0
BLANK_0034,,,,,,0
BLANK_0037,,,,,,0
BLANK_0039,,,,,,0
BLANK_0043,,,,,,0
BLANK_0044,,,,,,0
BLANK_0048,,,,,,0
BLANK_0052,,,,,,1
BLANK_0053,,,,,,1
BLANK_0058,,,,,,0
BLANK_0059,,,,,,0
BLANK_0061,,,,,,0
BLANK_0064,,,,,,0
BLANK_0067,,,,,,0
BLANK_0069,,,,,,0
BLANK_0070,,,,,,0
BLANK_0071,,,,,,0
BLANK_0072,,,,,,0
BLANK_0077,,,,,,0
BLANK_0079,,,,,,0
BLANK_0082,,,,,,0
BLANK_0085,,,,,,0
BLANK_0087,,,,,,0
BLANK_0089,,,,,,0
BLANK_0095,,,,,,0
BLANK_0096,,,,,,0
BLANK_0097,,,,,,0
BLANK_0101,,,,,,1
BLANK_0110,,,,,,0
BLANK_0114,,,,,,0
BLANK_0115,,,,,,0
BLANK_0118,,,,,,0
BLANK_0120,,,,,,0
BLANK_0122,,,,,,3
BLANK_0125,,,,,,0
BLANK_0126,,,,,,0
BLANK_0127,,,,,,0
BLANK_0128,,,,,,0
BLANK_0129,,,,,,0
BLANK_0133,,,,,,0
BLANK_0134,,,,,,0
BLANK_0137,,,,,,0
BLANK_0138,,,,,,0
BLANK_0139,,,,,,0
BLANK_0143,,,,,,0
BLANK_0147,,,,,,0
BLANK_0152,,,,,,0
BLANK_0158,,,,,,0
BLANK_0159,,,,,,0
BLANK_0160,,,,,,0
BLANK_0161,,,,,,0
BLANK_0162,,,,,,0
BLANK_0163,,,,,,0
BLANK_0164,,,,,,0
BLANK_0168,,,,,,0
BLANK_0169,,,,,,0
BLANK_0172,,,,,,0
BLANK_0173,,,,,,0
BLANK_0174,,,,,,0
BLANK_0176,,,,,,0
BLANK_0180,,,,,,0
BLANK_0183,,,,,,0
BLANK_0185,,,,,,0
BLANK_0190,,,,,,0
BLANK_0191,,,,,,0
BLANK_0193,,,,,,0
BLANK_0194,,,,,,1
BLANK_0196,,,,,,1
BLANK_0198,,,,,,2
BLANK_0200,,,,,,0
BLANK_0208,,,,,,0
BLANK_0211,,,,,,0
BLANK_0212,,,,,,2
BLANK_0214,,,,,,0
BLANK_0215,,,,,,0
BLANK_0220,,,,,,0
BLANK_0221,,,,,,0
BLANK_0226,,,,,,1
BLANK_0236,,,,,,0
BLANK_0238,,,,,,0
BLANK_0245,,,,,,9
BLANK_0246,,,,,,0
BLANK_0253,,,,,,0
BLANK_0266,,,,,,1
BLANK_0270,,,,,,0
BLANK_0272,,,,,,0
BLANK_0273,,,,,,1
BLANK_0278,,,,,,0
BLANK_0287,,,,,,0
BLANK_0291,,,,,,0
BLANK_0297,,,,,,0
BLANK_0309,,,,,,1
BLANK_0318,,,,,,1
BLANK_0319,,,,,,0
BLANK_0321,,,,,,0
BLANK_0328,,,,,,1
BLANK_0335,,,,,,2
BLANK_0337,,,,,,0
BLANK_0343,,,,,,0
BLANK_0348,,,,,,0
BLANK_0357,,,,,,0
BLANK_0369,,,,,,0
BLANK_0370,,,,,,0
BLANK_0377,,,,,,1
BLANK_0386,,,,,,0
BLANK_0396,,,,,,0
BLANK_0400,,,,,,0
BLANK_0401,,,,,,0
BLANK_0402,,,,,,0
BLANK_0403,,,,,,0
BLANK_0404,,,,,,0
BLANK_0405,,,,,,0
BLANK_0406,,,,,,0
BLANK_0407,,,,,,0
BLANK_0408,,,,,,0
BLANK_0409,,,,,,0
BLANK_0410,,,,,,0
BLANK_0411,,,,,,0
BLANK_0412,,,,,,0
BLANK_0413,,,,,,0
BLANK_0414,,,,,,0
BLANK_0415,,,,,,0
BLANK_0416,,,,,,0
BLANK_0417,,,,,,0
BLANK_0418,,,,,,0
BLANK_0419,,,,,,0
