gene,median_boundary_frac,mean_boundary_frac,p25,p75,mean_cell_total,n_cells_used
ADH1C,0.0,0.1155616942780847,0.0,0.0,2.1878453038674035,181
CLCA1,0.0,0.07407407406902357,0.0,0.0,2.080808080808081,99
CDHR5,0.0,0.16224188789011798,0.0,0.5,2.066371681415929,226
CDH19,0.0,0.155450134367481,0.0,0.3333333333333333,3.2774252039891207,1103
AKR1C3,0.0,0.09666666665641026,0.0,0.0,2.1384615384615384,325
CXCR5,0.0,0.19248665137890922,0.0,0.5,2.0961098398169336,437
AREG,0.0,0.18671723512621663,0.0,0.4365079365079365,2.7782909930715936,1299
ADRA2A,0.0,0.13296795951363125,0.0,0.0,2.300168634064081,593
AFAP1L2,0.0,0.10406301823272526,0.0,0.0,2.154228855721393,603
CXCR2,0.0,0.1151376146620795,0.0,0.0,2.188073394495413,436
CHGB,0.0,0.25596991727536267,0.0,0.5,3.547169811320755,265
COL17A1,0.0,0.1340614886565534,0.0,0.0,2.133495145631068,412
ANK2,0.0,0.15615389922056588,0.0,0.3333333333333333,2.3808695652173912,575
ANXA13,0.0,0.17153508769802633,0.0,0.5,2.0894736842105264,380
ACKR1,0.0,0.22302841712390006,0.0,0.5,3.152551878855861,1783
CD177,0.0,0.19848915098435535,0.0,0.5,2.4003336113427856,1199
DNAJC12,0.0,0.11803232997686734,0.0,0.0,2.2040133779264215,598
ABCA8,0.0,0.1431545425663333,0.0,0.3333333333333333,2.4178334561532795,1357
CXCR3,0.0,0.11349206346666665,0.0,0.0,2.1142857142857143,210
CA7,0.0,0.15694444440222222,0.0,0.0,2.25,60
COL19A1,0.0,0.05508474575847458,0.0,0.0,2.0677966101694913,118
CEACAM7,0.0,0.07347670249820788,0.0,0.0,2.086021505376344,93
CD7,0.0,0.02272727271590909,0.0,0.0,2.0454545454545454,44
CMA1,0.0,0.0965909090719697,0.0,0.0,2.227272727272727,44
ARX,0.0,0.1095238095095238,0.0,0.0,2.057142857142857,35
B3GNT6,0.0,0.022727272727272728,0.0,0.0,2.0,22
CTSE,0.0,0.23097854524740974,0.0,0.5,2.4285714285714284,91
BCAS1,0.0,0.05714285714285714,0.0,0.0,2.057142857142857,35
ABCC8,0.0,0.16501831499523809,0.0,0.25,2.4923076923076923,65
